algo;n;seed;elapsedMs;comparisons;swaps;maxDepth;timestamp
quicksort;900;17902123106985910323;0.214;10060;4996;4;2025-09-27T19:43:05.993Z
select;900;17902123106985910323;0.079;6747;1767;10;2025-09-27T19:43:05.994Z
closest;900;17902123106985910323;0.519;7841;0;6;2025-09-27T19:43:05.995Z
mergesort;1000;11196059732972788630;0.141;10248;0;7;2025-09-27T19:43:05.996Z
quicksort;1000;11196059732972788630;0.132;11251;6007;5;2025-09-27T19:43:05.996Z
select;1000;11196059732972788630;0.092;7695;2026;9;2025-09-27T19:43:05.997Z
closest;1000;11196059732972788630;0.756;9408;0;6;2025-09-27T19:43:05.998Z
mergesort;1000;5422213913645602287;0.140;10369;0;7;2025-09-27T19:43:05.999Z
quicksort;1000;5422213913645602287;0.141;11729;6774;5;2025-09-27T19:43:05.999Z
select;1000;5422213913645602287;0.036;3273;806;7;2025-09-27T19:43:06Z
closest;1000;5422213913645602287;0.833;9275;0;6;2025-09-27T19:43:06.001Z
mergesort;1000;2462395381902182851;0.135;10301;0;7;2025-09-27T19:43:06.002Z
quicksort;1000;2462395381902182851;0.159;12701;6219;4;2025-09-27T19:43:06.002Z
select;1000;2462395381902182851;0.079;7520;1959;10;2025-09-27T19:43:06.003Z
closest;1000;2462395381902182851;1.739;9281;0;6;2025-09-27T19:43:06.005Z
